"text","type","formality_label","formality_explanation"
"Village head Harrison Okoye describes the devastating effects of gully erosion.","news","neutral",""
"I don't understand the incomplete sentence.","answers","neutral",""
"So in the Senate, they went back to the drawing board, wrote the Baucus version, and tried to pretend that splitting off a proposed 10-year, $247 billion Medicare doctors' fee ""fix"" would not count in health care reform.","blog","neutral",""
"The disclosure that No 10 is preparing to throw its weight behind Miliband will prompt speculation that Brown has given up on Blair's hopes, since British candidates could not fill both Brussels posts.","news","neutral",""
"There is little you can do on this issue except advise big brother in Washington that there are numerous vets in this category in Florida.","email","neutral",""
"Help Doug Hoffman for Congress now.","blog","neutral",""
"All the tools used are free of use.","answers","neutral",""
"It can vary a little.","answers","neutral",""
"You owe the IRS that money Will you get caught if you keep it?","answers","neutral",""
"Sir Terry's annual salary of 1.3million is only slightly more than the sum linked to the talks with Mr Blair.","news","neutral",""
"Sowell, who spent 15 years in prison for a rape committed in 1989, was known as a local ""scrapper"" who would earn money by harvesting metal from rubbish and skips.","news","neutral",""
"There was a stretch of three straight possessions in the third in which Rondo found Ray Allen for a long jumper and a pair of 3-pointers, and Allen said, ""It's weird because I never really felt like he had the ball at all.""","news","neutral",""
"He found Pierce, who hit a 25-footer that made it 53-35 early in the third.","news","neutral",""
"The National Republican Congressional Committee will now be throwing its support to Hoffman, after endorsing Scozzafava and deriding the Conservative Party candidate in statements throughout much of the race.","blog","neutral",""
"Albert Einstein was a pantheist.","answers","neutral",""
"The sixty-year-old blind swami flatly refuses to buckle down.","news","neutral",""
"To do this, he rocketed his boats across hundreds of miles under cover of night, navigating in the impenetrable darkness by instinct alone while deftly avoiding Japanese patrols.","blog","neutral",""
"She said she has known Sowell since high school.","news","neutral",""
"While some will attempt to portray the outcome as meaningful in the midterm contests between the parties, it's hard to see how a conservative winning in a district controlled by the Republicans for over a century will say much of anything - except that the GOP's activists who were annoyed by the nomination of a Republican who some viewed as more liberal than the Democrat in the race will be able to say that their party's values were upheld in the district.","blog","neutral",""
"I realise that, as a libertarian, I might well lose.","blog","neutral",""
"Just fill up the meter and press L1.","answers","neutral",""
"Besides the note of thanks, this added.","email","neutral",""
"Even invested at only 4% it would generate $1 million a year.","email","neutral",""
"I give you this link about different sleep methods.","answers","neutral",""
"It makes you human.","answers","neutral",""
"Obama further promised that his health care initiative would not ""add a dime to the federal deficit,"" which he has already tripled since taking office.","blog","neutral",""
"some roads in germany don't have speed limits.","answers","neutral",""
"The Panther platform has been given its last rites; the St. Thomas Assembly plant is the only Ford location currently building the body-on-frame biggies, and that plant will close in September 2011.","blog","neutral",""
"Frank G. Clark, 1920 Tahiti Pl.","email","neutral",""
"""We decided, if it's core to gameplay, it gets a trophy. If it's a skill-based honor, like a 'Hey man, look what I can do,' thing, then it's a medal.""","blog","neutral",""
"The ministry started an anti-dumping investigation into adipic acid imports last November.","news","neutral",""
"""I went to get out of bed to go to the toilet, which was down the other end of the flat. I couldn't get further than putting my legs over the bed. It's no respecter of age,"" she said in a 2006 interview with ABC television.","blog","neutral",""
"Jeb, Education is still the most important issue in America.","email","neutral",""
"Now, a 7 month old cat is still a kitten and growing.","answers","neutral",""
"He said that, ""The open season allows shippers to have an equal opportunity to bid for capacity on any proposed pipeline project.","email","neutral",""
"The E-Puzzler, believed to be the world's most sophisticated pattern-recognition machine, would work by scanning the small paper strips into a computer image file and analyzing their texture, shape, thickness and tear patterns to compose a digitalized image of a whole document.","news","neutral",""
"The collision occurred as the Coast Guard airplane was itself carrying out a search for a missing boatman.","news","neutral",""
"Where I live both parents have to sign a consent form.","answers","neutral",""
